sub_id,session,run,red_idx,green_idx,value
MET000,1,4,3,0,0.82389205447224856
MET000,1,4,3,1,1.2077803856808391
MET000,1,4,3,2,0.94423635109276605
MET000,1,4,3,3,1.3065140582536403
MET000,1,4,3,4,0.85081915051911439
MET000,1,4,3,5,0.85705733845751908
MET000,1,4,3,6,0.69434302952535887
MET000,1,4,3,7,1.1442155934948779
MET000,1,4,3,8,1.4610527340922557
MET000,1,4,3,9,1.4048638087029477
MET000,1,4,4,0,1.0410139418590971
MET000,1,4,4,1,0.89412887044022105
MET000,1,4,4,2,1.2607033624339521
MET000,1,4,4,3,1.0412677015070535
MET000,1,4,4,4,1.0818178018471041
MET000,1,4,4,5,0.93543196143940766
MET000,1,4,4,6,0.83871064870154866
MET000,1,4,4,7,1.1244862309899395
MET000,1,4,4,8,1.2667197792929092
MET000,1,4,4,9,1.4572037269380811
MET000,1,4,5,0,1.1274584339518905
MET000,1,4,5,1,1.3342235398902669
MET000,1,4,5,2,1.0475206592841264
MET000,1,4,5,3,1.3562827989258015
MET000,1,4,5,4,0.93013816248162884
MET000,1,4,5,5,0.95187985924098417
MET000,1,4,5,6,0.99058847196330579
MET000,1,4,5,7,0.94850488259262022
MET000,1,4,5,8,1.4100489834712471
MET000,1,4,5,9,1.5748654536059064
MET000,1,4,6,0,1.3384216773399995
MET000,1,4,6,1,1.5371609303946321
MET000,1,4,6,2,1.3615450119008199
MET000,1,4,6,3,1.1596675173706756
MET000,1,4,6,4,1.2548999666748724
MET000,1,4,6,5,1.0739223662348285
MET000,1,4,6,6,1.0837172340073753
MET000,1,4,6,7,1.0000844190383855
MET000,1,4,6,8,1.2754519738795889
MET000,1,4,6,9,1.4112686902667311
MET000,1,4,7,0,1.3103352501209404
MET000,1,4,7,1,1.3971669196618484
MET000,1,4,7,2,1.4014431634275406
MET000,1,4,7,3,1.2238199579795941
MET000,1,4,7,4,1.3064667798436762
MET000,1,4,7,5,1.2364134536760949
MET000,1,4,7,6,1.0096022657428645
MET000,1,4,7,7,1.1149382242110528
MET000,1,4,7,8,0.87159776474760053
MET000,1,4,7,9,1.3205559944753855
MET000,1,4,8,0,1.6837785449767424
MET000,1,4,8,1,1.6417841769691277
MET000,1,4,8,2,1.60273224054278
MET000,1,4,8,3,1.5839843315059277
MET000,1,4,8,4,1.3885528282460289
MET000,1,4,8,5,1.4376833919835033
MET000,1,4,8,6,1.3252177515223025
MET000,1,4,8,7,1.5608325152984983
MET000,1,4,8,8,1.368234851420971
MET000,1,4,8,9,1.328362034874339
MET000,1,4,9,0,1.6760957083877643
MET000,1,4,9,1,1.4835994780227997
MET000,1,4,9,2,1.6444024178724352
MET000,1,4,9,3,1.5171552465148326
MET000,1,4,9,4,1.4655177454970776
MET000,1,4,9,5,1.5329066105561224
MET000,1,4,9,6,1.5419454274044733
MET000,1,4,9,7,1.5401252878329634
MET000,1,4,9,8,1.5925033005168081
MET000,1,4,9,9,1.6309998276536433
MET000,2,1,0,0,1.3697854489909749
MET000,2,1,0,1,1.5984056524833643
MET000,2,1,0,2,1.8568881519266665
MET000,2,1,0,3,1.7521359977651254
MET000,2,1,0,4,1.604700030180799
MET000,2,1,0,5,1.670433212460704
MET000,2,1,0,6,1.557025126819801
