sub_id,session,group,subgroup,red,green,depth,red_idx,green_idx,fitted_red,fitted_green,fitted_depth,fitted_amp,fitted_sigma_red,fitted_sigma_green,fitted_r_squared,fitted_at_bound,fitted_valid,ramp_intercept,ramp_slope_red,ramp_slope_green,ramp_r_squared,rotated_red,rotated_green,rotated_depth,rotated_amp,rotated_sigma_major,rotated_sigma_minor,rotated_orientation_deg,rotated_r_squared,rotated_at_bound,rotated_valid
MET012,1,CTR,NA,2133.3333333333335,888.8888888888889,0.10540763140752336,6,4,1962.8898671450997,822.5727900756003,0.23051398962358916,0.4578410698218057,839.3522734977279,529.5452000290444,0.6163476300766837,False,True,0.6919328679754386,-1.7549104720032478e-05,-0.0001702176260674292,0.3080963954135427,1994.1206089087207,775.8689788257675,0.2298512057246962,0.47430993462328874,884.6062805209735,488.06440040380596,14.206062909380554,0.6264826258923055,False,True
MET012,2,CTR,NA,2133.3333333333335,888.8888888888889,0.09271759758741197,6,4,2129.783388699723,673.3771651130858,0.25183482773681665,0.52249596910931,1070.9459614475165,787.5259419361389,0.6414329612326068,False,True,0.6390779148839127,-3.387556489237404e-05,-0.00016286063007478976,0.3494901247391161,2135.004147258229,667.1689203876106,0.2531943887663952,0.5279385249493331,1077.5813320375507,789.4039039349628,1.3051082834181702,0.6414627931123825,False,True
MET015,1,CVD,deutan,1777.7777777777778,888.8888888888889,-0.017616766378146197,5,4,1789.2008409057999,879.8933755015086,0.05250580730601084,0.3437911039784466,285.13869983818404,204.69241666287513,0.17802380101164672,False,True,0.4368550225111595,-9.260705647171583e-06,-4.666257852264693e-05,0.05027855571465345,1789.2191676515474,879.9078154002035,0.05250333497782439,0.3437926019935702,285.13586511410614,204.69234851409337,8.958101822383993e-118,0.17802380136200413,False,True
MET016,1,CVD,protan,1422.2222222222222,888.8888888888889,0.03863296325665128,4,4,1083.9345790700997,905.4591046256976,0.20591663694191642,0.6565195823162692,2664.4664244268793,301.46129770264656,0.7497424192895534,False,True,0.7766512950315959,-6.612361007338516e-05,-6.484830132744077e-05,0.09205644567253701,1083.9452441882788,905.4582512618282,0.2059163827043503,0.6565192631016894,2664.467547824692,301.4616427442806,2.899964777055865e-37,0.7497424192547966,False,True
MET016,2,CVD,protan,2488.8888888888887,666.6666666666666,0.04043522784766925,7,3,3199.9999999999995,655.4920823355073,0.20932332284873434,1.1463513451209961,2336.1637008511566,709.6560446714636,0.7813901425036419,True,False,0.6825301550521071,-4.996145666575515e-05,-0.00014154031642561548,0.2069637195339279,3199.9999999999995,655.4931180429467,0.209322936379718,1.1463490448114277,2336.1658347078833,709.6553799713803,5.141513505064249e-36,0.7813901424736712,True,False
MET017,1,CVD,protan,2488.8888888888887,666.6666666666666,0.10719055479546376,7,3,2964.117310322172,777.9542019999967,0.21011996999649352,0.6961661818252207,3191.7289590718938,210.7639454426019,0.8154153585860862,False,True,0.42493390816761084,4.76241562486982e-05,0.00019581620834151727,0.2541514616409051,2964.1006922648367,777.9547773598398,0.21012087233206034,0.6961642866921751,3191.7317595556606,210.76453849389955,5.025582059188704e-25,0.8154153585669774,False,True
MET017,2,CVD,protan,2844.4444444444443,666.6666666666666,-0.03187554968773826,8,3,3199.9999999984334,785.1326860609871,0.022126313104899764,0.5896226538713573,2231.012382650802,191.32473533844527,0.8054135740164478,True,False,0.2964258802018458,7.806929868549802e-06,0.00018191959762255415,0.31879141840484826,3199.9999999999654,785.1328092127397,0.022126857648392728,0.5896210163482694,2231.0364314068865,191.3238358875548,1.9200346584215245e-13,0.805413574037799,True,False
MET018,1,CTR,NA,2488.8888888888887,666.6666666666666,-0.017365898200227443,7,3,2731.0920502663785,524.5527422925531,0.12272549093242446,0.6655191371393294,2003.5033649631325,1154.1634943566758,0.5119006450414354,False,True,0.367397823617926,-5.910793331688354e-05,-4.7068376278113225e-05,0.2707373158159593,2731.1507737103443,524.5566211613246,0.1227265835294129,0.6655392417105375,2003.579228036659,1154.1717143242925,7.194968186801347e-36,0.5119006450595288,False,True
MET018,2,CTR,NA,2133.3333333333335,888.8888888888889,0.0867147069965801,6,4,2068.605640749091,815.8139592457592,0.20494580703457457,0.2391158209217045,1006.7686394322034,419.5814050163852,0.6493111140774612,False,True,0.5954101049972327,-6.809676439505496e-05,-0.00011835549861166662,0.48872567845068093,1857.3615308590342,755.1881118440976,0.21152333194071488,0.24171479574788252,1118.7628495338677,327.2226366878662,11.270169844328546,0.6622330313823428,False,True
MET019,1,HD,NA,1777.7777777777778,888.8888888888889,0.16376157215723683,5,4,1498.0918196088926,847.1469625794355,0.39739377392787256,0.5274949768392319,990.6032326824369,746.5426778954837,0.581392895696788,False,True,0.9386074629241724,-8.564145044754907e-05,-0.00016667077440977426,0.31987168053083137,1471.4409210972333,689.386075070859,0.28194555905985863,0.5502775983948983,998.1183980960551,271.75467942867533,19.78577850071633,0.6206441035802668,False,True
