sub_id,session,run,trial,value
MET026,1,3,4,0.86574528263030726
MET026,1,4,1,0.71526227416111732
MET026,1,4,2,0.84748307842997606
MET026,1,4,3,1.0333634496885242
MET026,1,4,4,0.82200004178172592
MET027,1,1,1,0.79656173385066398
MET027,1,1,2,0.82177808690988785
MET027,1,1,3,0.83375680696243371
MET027,1,1,4,0.76833054358753994
MET027,1,2,1,0.90493332572449803
MET027,1,2,2,0.71488274691785081
MET027,1,2,3,0.77924171334704317
MET027,1,2,4,0.78935429703991111
MET027,1,3,1,0.71548953267050253
MET027,1,3,2,0.72638583537113555
MET027,1,3,3,0.76820881171362121
MET027,1,3,4,1.0132381122133467
MET027,1,4,1,0.85161755563737351
MET027,1,4,2,0.71352673816759282
MET027,1,4,3,0.86868201277801904
MET027,1,4,4,0.67565416705213122
MET027,2,1,1,0.76962892229338375
MET027,2,1,2,0.66980250487488835
MET027,2,1,3,0.92391588602447461
MET027,2,1,4,0.86995276359951268
MET027,2,2,1,0.81373692504915063
MET027,2,2,2,0.87733246625231631
MET027,2,2,3,0.75250475027396402
MET027,2,2,4,0.76071490538668185
MET027,2,3,1,1.0192728279273529
MET027,2,3,2,0.7393426836569551
MET027,2,3,3,0.85362890152431548
MET027,2,3,4,0.85574328437987768
MET027,2,4,1,0.81869968845650343
MET027,2,4,2,0.80442775379816667
MET027,2,4,3,1.039406542172405
MET027,2,4,4,0.79350635601017427
MET028,1,1,1,0.82196699460469014
MET028,1,1,2,0.85755023484720405
MET028,1,1,3,0.91010730582797483
MET028,1,1,4,0.7774259725185324
MET028,1,2,1,0.87228795004251347
MET028,1,2,2,0.84534208190836835
MET028,1,2,3,0.8424948600162806
MET028,1,2,4,0.88967566885080906
MET028,1,3,1,0.68654663853897413
MET028,1,3,2,0.78175059478077147
MET028,1,3,3,0.77631835557226125
MET028,1,3,4,0.81259355666335098
MET028,1,4,1,0.67397423863352834
MET028,1,4,2,0.83834610497371642
MET028,1,4,3,0.93910873672917416
MET028,1,4,4,0.91555029128024756
MET029,1,1,1,0.90697559757868684
MET029,1,1,2,0.71294660987352043
MET029,1,1,3,0.86191301229926898
MET029,1,1,4,0.75048064858607244
MET029,1,2,1,0.78442197732236185
MET029,1,2,2,0.75003321395783717
MET029,1,2,3,1.1300945940598075
MET029,1,2,4,1.5266853288341693
MET029,1,3,1,0.6521733524917166
MET029,1,3,2,0.71351095901007056
MET029,1,3,3,0.85917482422832936
MET029,1,3,4,0.9340115829603064
MET029,1,4,1,0.84704243302373705
MET029,1,4,2,0.83995145033292273
MET029,1,4,3,0.7559428046751413
MET029,1,4,4,0.74770877695382243
MET030,1,1,1,0.61368706967862685
MET030,1,1,2,0.80531858845471893
MET030,1,1,3,0.85761036853402595
MET030,1,1,4,0.90899391840861643
MET030,1,2,1,0.63800580125585105
MET030,1,2,2,0.77054468092629225
MET030,1,2,3,0.72051095303160106
MET030,1,2,4,0.89170928672189054
MET030,1,3,1,0.93880170990929201
MET030,1,3,2,0.69073797893282973
MET030,1,3,3,0.78962630022775615
MET030,1,3,4,0.69140011359084264
MET030,1,4,1,0.76608433563509226
MET030,1,4,2,0.75953903049934923
MET030,1,4,3,0.72846966739724783
MET030,1,4,4,0.82328623608757701
MET030,2,1,1,0.88843798609163682
MET030,2,1,2,0.81781927043780178
MET030,2,1,3,0.68263579735431645
MET030,2,1,4,0.69357714424247552
MET030,2,2,1,0.78442274981322235
MET030,2,2,2,0.67557781585987986
MET030,2,2,3,0.75127587946397101
MET030,2,2,4,0.74536319277595586
MET030,2,3,1,0.80552609223302352
MET030,2,3,2,0.83592652679005364
MET030,2,3,3,0.81669935664891946
MET030,2,3,4,0.76162855458460776
MET030,2,4,1,0.93536069711294245
